"rating","reviewContext/null","text","name"
,"Yes","We had an issue with some outlets. They came right out and fixed us up. They were very reasonable and friendly. Highly recommend!!!","Nikki Haire"
,"Yes","Jamie is the most professional Master Electrician, with a strong customer focus that I have met in the last 20 years. Not only did he get to my needs early, he was quick and efficient. Look no further for quality and fair pricing in the wiregrass!.","justin goldman"
,"Yes","First off, the fact that Jamie returned my call was great.  He was willing to come out to my home and do an estimate, where others gave me nothing but excuses as to why they could not.  All the better because Jamie's work was excellent!  I needed auxiliary power ran out to my work shed and a receptacle for a portable generator on the side of my house.  I now have power out in my shed and I can now roll up my Pulsar 12,000 Watt Portable Generator and plug into my house without having to run a bunch of extension cords.  We are so happy knowing we are now totally prepared for a power outage.  I will definitely use Jamie and his crew for future projects.  Thank you!","Aaron Arguello"
,,"A+ service","austin r"
,,,"rick v"
,,"They fixed the problem and were nice","Alice White"
,,"The only state licensed Master Electrician in Dale county. Has a State plumbing and gas fitters license. Stands behind his work and is on time.","Cynthia Cherneski"
,,"Awesome service. Very professional and proficient. Will definitely call again for future jobs.","First Last"
,"Yes",,"Craig mcnelley"
,,"Always does great work! Jamie always gets the job done. I highly recommend Dr. Watts electric!","David McNelley"
,,"100% recommend.

I needed an outlet installed for my new stove, and Excel Power did the work within one day!

I’ve had absolutely no electrical problems with my stove and they even left no evidence (aka mess) of their work.

Quick, efficient, reliable, and good prices.","Charia Rose"
,"Yes","Lazaro Hernandez does excellent, excellent work.  I own a 90 year old landmark property in Geneva Al.  Lazaro and his team worked tirelessly for 4 days rewiring this old home.  I can't say enough good things about my experience!","eldo7709"
,,,"Shannon Golden"
,,,"Matti Roller"
,,,"Danny Hendrickson"
,,,"Bubba Womble"
,,,"donald Smith"
,,"Fantastic customer service, fair price, efficient, they've done work in Panama City Beach, Panama City, Lynn Haven and Chipley, Florida. Highly recommend!","Bubba McCants"
,,,"Matthew Saxon"
,,"Doesn't show up at scheduled time, does not return phone calls.Not worth the money!!!! If I could have put zero Stars I would have","Linda Abma"
,,"Worst contractor I have ever worked with. I called and asked for help with a service call.   They did some work changing out some bad lights.   After it was completed he never returned the old material costing us over a thousand dollars. I called for months to get the product returned with no cooperation.
DO NOT EVER USE THIS COMPNAY!!!","kyle knapp"
,,"This person is not worth your time don't use. And is a crook!!!👿👿👿👿 charged $65 to come out to look at my electrical box to see if everything was in order to have power then charged me $55 for a circuit breaker that was broke!!! AND WAS ASKING FOR THE MONEY BEFORE EVEN STARTED DON'T USE","Sally Marquez"
,"Yes","Tri-States installed several floodlights and ran wires for outlets/overhead lights for our businesses and installed them very quickly. I found them to be extremely helpful in making sure that our lighting needs were met. I would definitely use them again!","Brad Dunning"
,,"Great company!! Amazing work, attention to details, and gets the job done.","David Harris"
,,"Great","Madalynn Bean"
,"Yes","Eric installed a new circuit box and wiring on our home. He was excellent with keeping us informed, showing up when he was scheduled to show up and completed all the work in a timely manner. I am very pleased with all of the work he completed at our home, I would not hesitate to use him again for any electrical needs .","Cathy Moore"
,,"Installation of 200 AMP Service, Electrical Wiring, and Outlets for Ag Barn in Bonifay, FL.

I highly recommend Apgar Electric to deliver services for your electrical needs. Apgar takes pride in their work and clearly outlines the steps needed to resolve a problem in the simplest way possible. Based on their experience, Apgar offered me a unique solution to enhance my system performance beyond my initial request. Finally, Apgar provided service according to my schedule without delays and was very efficient in execution.

Thank you, Apgar; in a rural area experiencing skilled labor shortages and typical long wait times for help, it was refreshing to work with a company that delivered services quickly and professionally.

Dr. Pete Garcia","Pete Garcia"
,"Yes","Great Company.  Can't say enough good things about these guys.  They were prompt, efficient, and kept the site clean.  Did a multi-day job at my home, and always kept me informed as to the job progress.  I already have them booked to do another job at my home.","Mary Johnson"
,,"Very professional, came out quick and got the job done fast. And Very reasonably priced. Would definitely  recommend.","piotr szuba"
,"Yes","Outside meter repair. Had to rehire a real electrician to redo his mess.","FD Robinson"
,,"Quick and reasonable.","Julian Miller"
,"Yes","Buck did a great job wiring our new site in our RV Park, not all electricians can do RV Parks, and thanks for coming after hours when needed.  Anytime day or night he shows up, Thanks again!","Linda Marshall"
,"Yes","Power surge created outlets to become disabled and blown. Older home with bad wiring but all was handled promptly in a good timely matter.","Wanda Bryant"
,"Yes","Installation of Generac Generator.  Buck took care of the entire job including coordinating with power company and gas company and all permits required. Him and his Team did an excellent and professional job.  He always kept us informed on every step of the project.  Highly recommend him for any of your electrical needs.  Wayne/Pamela","Wayne Leavins"
,,"Excellent Electrical Work!!!

Buck is:
•Extremely Knowledgeable,
•Very Professional,
•A Hard Worker,
•Easy to Talk too,
•Had Very Good ideas,
•Very Good rates,
•Stella & Cary also did a great job working with Buck

I will definitely use Buck Electrical again and highly recommend his Services!!!","Dennis Ferrari"
,,"I called several times to get an estimate and he would not return my calls.  When I finally reached him he said he did not have time to go out giving estimates for ""small"" jobs.  He refused to give me an idea of what the cost would be over the phone and hung up on me.  It you have a ""small job""  call someone else.","Evan Ogden"
,,"I have 48 years of experience with contractors. Buck does not keep his word and he has a temper too. He never did provide a receipt that I needed for insurance purposes. Very unprofessional. If you must use him get it in writing first and don't pay until he is completely finished as after you pay him he will not keep his promises.","Jim Marlow"
,,"Absolutely amazing! He knew exactly what was wrong and charged a fair price. From the time he called to the time he fixed the issue was only an hour and a half. This was exceptional on a holiday. Thank you so much!","Samantha Westbrook"
,,"Great company. Called him around 6pm he was fixing our box and weather head the next morning so we could get our power back. Great guy. Highly recommend.","Suzanne Gerard"
,,"Do not use this electrician.  He scheduled 4 times and has yet to show up over a 2 week period.  I'm tired of promises and waiting.","Pat Abram Ault"
,,"Amazing experience. Got us booked quickly, arrived on time, and installed 2 lights and a fan in an hour! His rate was the best by far. Very nice, professional guy.","Ashley Boatwright"
,,"Flawless and awesome experience!! Kacey at Kent Electrical is nothing short of extraordinary! His expertise and customer service is unmatched, and he went out of his way to ensure the work and job was completely satisfactory. I couldn't be happier with the install of a 250 volt outlet to charge my vehicles. If you're in search of a great electrician and want QUALITY and TOP NOTCH customer service, Kacey is your guy!!","Ranbelt"
,,"Kacey did assessment of damage caused by fallen tree and emailed the estimate the same day. The power company messed up our scheduled cutoff but he called to advocate on our behalf.  We finally got power company out and he made sure the lineman stayed while he finished the job. Power was restored quickly.  Very professional. We will use Kacey for future service needs.","Beth Watson"
,,"We needed an emergency repair after a tree took down a power line and ripped the breaker boxes and meter box off the wall. We called Kent Electric, and they came out the same day for a quote, doing the needed repairs the very next day! Kent Electric is top quality service, with affordable pricing!","Dennis"
,,"Very professional job, great cleanup of the area when job completed.  Really good value for the job.  Would highly recommend for your electrical needs.  Wayne","Wayne Leavins"
,"Yes","awesome guy. quick to respond, professional, fair pricing, very knowledgeable in the field. I will use him again and again when it comes to electrical. you want the best use Kent's electric.","Kathy king"
,"Yes",,"monique maggard"
,"Yes","Kasey from Kent Electric was amazing! He was fast and persistent in making sure our every need was met. He did everything we needed including whole home new construction wiring and fixture installation. Kasey made our little dream home so welcoming! Will definitely call him for any electrical needs we need in the future!","Caleb & Karen Segers"
,,"Very professional, prompt, and responsive. Rewired our whole house and wasn't even phased by the scope or complexity. Stuck with the job even when the general contractor up and quit.","Jason Neumann"
,,"Showed up on time done an excellent job it looks very professional I have never had a Box wired that looks so good, his appearance professional clean. If I have any electrical work done I don't care what it is I will be hiring Kent  electric he did a very good job at a very affordable price. If you could see pictures of his work you would hire nobody else I can use my eyes in the electrical Box and follow every wire to where it goes it's not a jumbled up rats nest, And he had to work in the direct sunlight very hot did not stop work until the job was done, I can't say it enough  good about him, I had never met him until the day he showed up but I will definitely hire him again if I need electrical work. Even took time to explain to my wife how to work the timer I also had him install.","Brent Stoker"
,,"Professional and trustworthy! I trust Kent Electric to get the job done and to do it CORRECTLY. He is extremely professional and courteous","Lauren Maynard"
,,,"Sophie Herrington"
,,,"Jody Clements"
,,,"Akae Hiram"
,,,"Milton Evans"
,,,"Mrbtown300"
,,,"Teri Goff"
,,,"Alan C"
,,,"Tonya Tucker"
,,,"Dr. Yangus Bottom Tooth"
,,"Rv park and moble home trailer park.. with swimming pool.","Deanna Schmidt"
,,"Amazing work! Would recommend to anyone in need of electrical work.","Whitney Bolt"
,,"Amazing service!  Extremely professional and did everything by the book.  Took a frightening electrical issue and re-wired my home  to code.","Kimberly Smith"
,,"Mr. Pierce was friendly, professional and prompt for our commercial property. Would give 10 stars if we could.","Laura Spurlin"
,,"I appreciated the quick, professional service they provided.","Shannon Turnage"
,,,"Mihir Pradhan"
,,"Your employee who parked in the handicapped zone with the disrespectful reply should be fired.","Timothy Wert"
,,"If I could leave less than one star I would. The employees of this company park in handicapped spots without permits and take advantage of people with disabilities. Unacceptable, do not do business with these people.","Calen Santos"
,,,"Bobby Derome"
,,"Absolutely the best at what they do","Joe Hicks"
,,,"Craig"
,,"Reliable, professional and resonalble.
Justin is the guy for all your electrical needs","Scott Browder"
,,"We had two outlets that stopped working and needed our dishwasher removed from an outlet. Brad came out in a timely manner, explained the problems, and fixed them in a flash. The cost was reasonable. We will be calling Bulger Electric for future outdoor lighting and other projects we have in mind and have already discussed them with him.","JoJo M3"
,,"Phenomenal service and exceptional communication. Great guy and great company! Give them a call!","Ben Trickett"
,,,"Daniela Payant"
,,,"Jann Ballard Thompson"
,,"such a great team to work with..kind and professional..rewired an entire house for me that was built in 1915 !","Jill Bowden"
,,"Phenomenal experience from a season professional. Replaced my 39 year old breaker box, installed an outlet and an EV charger, all on a Saturday. Professional, friendly and thorough. Highly recommended.","Kevin Gardner"
,,"John Phillip's came out to my home. He was early, polite, professional, and got the job done in a timely manner. His prices are reasonable. I had an additional electrical panel installed next to the pre-existing panel along with a 220v outlet for a shop compressor. I highly reccomend JP Electric!","Adam Dozier"
,,"I recently did a large home renovation in Birmingham. We rearranged walls, closets and bathrooms. I was the acting GC with no prior experience. Jason was very helpful in achieving the looks we wanted in every space. He installed lighting, vent fans, sconces, outdoor lighting, a new sub panel and a ceiling fan. The lighting in the bathrooms looks incredible. I haven't seen bathrooms that look as good as these. Excellent work.","Patrick Fredella"
,,"Jason was absolutely amazing. Prompt, knowledgeable, and just a good dude. He came out on a Saturday because we didn't have hot water and was kind, quick, clean, and affordable. 100% recommended.","Sarah Knight"
,,"Jason was fantastic. We had a problem with some of our switches that we couldn't figure out. I called Jason yesterday evening and he was at our house first thing this morning. Excellent work and even better customer service. Highly recommend.","Jared Dobbins"
,,,"William Kimbrel"
,"Yes","I recently had the pleasure of working with Bledsoe’s Electrical to have new electrical plugs installed in my home, and I am thrilled with the results. From start to finish, their service was nothing short of exceptional.

The entire process was smooth and hassle-free. They provided a detailed estimate, outlining the scope of the work, costs, and a reasonable timeline for completion. This level of transparency was greatly appreciated.

He arrived on time, and his work was nothing short of impeccable. They took great care to ensure that the new plugs were not only functional but also aesthetically pleasing. The attention to detail was evident, and the finished work blended seamlessly with my home's existing electrical setup.

What truly sets them apart is their commitment to customer satisfaction. They went above and beyond to answer my questions and address any concerns I had during and after the installation.

In summary, Bledsoe’s Electrical exceeded my expectations in every aspect of the plug installation. Their professionalism, attention to detail, and dedication to customer satisfaction make them the go-to choice for electrical work. I highly recommend them to anyone seeking top-notch electrical services, and I will undoubtedly turn to them for any future electrical needs.","Fred Miller"
,"Yes","An honest and reliable electrician!

Jason will be one of my go-tos for all things electrical. He was responsive, knowledgeable, efficient, and professional. I reached out to Jason in a bit of crunch with a client needing a second opinion and repair work on a few items that came up from a home inspection, and he quickly responded and got over to the home. He explained what was going on without talking over my head, accurately priced the work and made the repairs with time to spare before closing. Jason was great to work with, and both my client and I were appreciative of his time and efforts.","Jasmine Kemp REALTOR"
,"Yes","Jason arrived promptly and installed our fire alarms, outlets, and repaired our panel correctly and efficiently. We'll definitely use him again and send him to all of my friends and family!","Vinetra King"
,,"Great company, excellent work. Jason gets the job done professional and fast. You call he answers. It's hard now a DayZ to find a company that's well rounded and provides good service.","Jonathan Bell"
,"Yes","Reached out to Jason about a faulty range outlet. He was responsive and got out here quickly. He figured out the issue and got everything up and running in 30 minutes. Professional, knowledgeable, and reasonable. Highly recommend","Daniel Logan"
,"Yes",,"Kaleshia Coleman"
,,"Very prompt and does very neat work!! I am pleased with the installation of my new Tiffany style lamp in my kitchen as well as the repairs and reworking of my bathroom lighting. I look forward to Ryan putting in a whole home surge protector. I highly recommend Wire Nuts!","Chanda Mitchell"
,,"I have an older house with crazy wiring that has been altered over the years by previous owners. We were experiencing lights going out on their own and other receptacle issues. I called Ryan, and he was quick to respond and showed up on time.
I explained the issues, and he patiently listened; I could see he was thinking and processing the information. He set off to investigate, and within about 20 minutes, he said he knew what the problem was and got to work.
There were wires crossed and bad grounds all over the house. He has been out several times now and has fixed so much bad wiring, run new wires, put in a new panel, added new circuits, etc.
I can’t say enough how grateful we are to have found him.","Jason Campbell"
,,"Came when he said he would. Fixed our problem. Reasonable. JD is a very nice man.","Charlotte White"
,,"JD Electric is the best quality and value around Huntsville.","Jason Crowson"
,,"Friendly service. JD found our electrical problem fast. Highly recommend!","Waymon Kilmer"
,,"Great people!","Ann Walthers"
,,,"Ashiv 76"
,"Yes","This business has handled multiple jobs on both our home and on our rental properties. If you want good honest workers who do a great job at a very affordable price, then this is the company for you!","Bonnie Harrison"
,"Yes",,"Jeremy Self"
,,"Good and honest electrical company. Would recommend them to everyone.","Dewayne Sloan"
,"Yes",,"Jeremy Self"
,,"Brian and his team did a great job with several changes to our home.  They installed new lighting, plugs and moved some lighting fixtures.  I found them to be prompt, dependable and easy to work with.  Highly recommend them to business or residential customers.","Melanie Wilbourn"
,,"Mr. Bailey is a decent, honest, conscientious businessman. We have had them out to work at our house twice. Both times they did great work, quickly and see a decent price. We will use them again!","M Naderi"
,,,"Lauren Self"
,,,"Rebecca Baldwin"
,,"Bryan and his team did an excellent job installing new electrical equipment and repairing old electrical equipment in my home.  They got the job done quickly and efficiently and left without leaving a mess for e to clean up.  Thanks guys.","Robert Brown"
,,"Excellent service!!!","Donna Wright"
,,,"Kitty Williams"
,,"I had the owner come out to my home to give me an estimate on my electrical work. It involved installing commercial grade LED lighting in a renovation project I have been working on. He came out and provided a quote the next day. He assured me he knew how to complete this job and had experience. The next day I had 3 guys show up who had no idea how to do anything with LED lighting. They were asking me questions how to wire it up even after I handed them instructions from everything. They said they were done in 4 hours. When I turned on my LED lights in the master bedroom they were strobing and flickering. The crew left anyway after showing them this. I didn't feel so great about it and had more electrical work to be completed but I was waiting on items to arrive in the mail. I called another electrician out and he went through everything. The flickering with the LED lights was from a ground not connected in the light switch box in the bedroom. The power supplies in the attic to the LEDs were wired wrong entirely. The power inverter to power the wall control panel had wiring going to a power supply which should have never happened. The power supplies have their own dedicated power already in the attic within a few feet and this was explained several times. The crew did not appear to be legitimate electricians and I ended up paying another electrician double to come back and fix the mess they installed. The electrician that came out actually knew how to install LED lighting. I contacted Mr. Beasley about the installation through text message explaining my situation with no response. I gave him the opportunity to make it right. DO NOT DO BUSINESS WITH THIS COMPANY. THEY ARE A JOKE.

Mr. Beasley, this review will cost you more business than if you had just made it right.
Thanks","Adam Dozier"
,,,"Andy Griffith"
,,"I highly recommend this electrician, he came out for a service call after 5 in the afternoon to accommodate my schedule. He diagnosed the problem within minutes, made the necessary repairs and charged a fair price.","Roxanne Lang"
,,"Jesse and Patrick were great! Jesse was very responsive and addressed all my requests in a timely and professional manner! My first call when needing electrical work! Actually, planning another project! Well done and keep up the great service! KG","Kenny Gunter"
,,"Very professional, courteous and knowledgeable. We’ve had the opportunity to use Hometown several times and have been very happy with the service provided.","Katie Vance"
,,"I would definitely recommend Hometown Electric for all your electrical needs. They are prompt, courteous and reasonably priced. I had a major electrical issue on a day I was going out of town. I called Hometown Electric and they were there within a few hours. They were determined and tracked down my problem and repaired it the same day. They never gave up even though my issue was frustrating. They worked 2 hours over their minimum 3 hours and did not charge me more than the 3 hour minimum. They are great and very fair.","Peggy Mayfield"
,,"Excellent service, prompt and professional.  I recommend Hometown to my father and he was pleased with service he received.","No Average Girl Stewart"
,"Yes","Very professional #1in my book.","Raymond Henry"
,,"They hung up my new pendant lights over the kitchen island (15 foot ceiling) without a hitch.","Linda Langston"
,"Yes","Patrick was on time and very professional. Did great work and as a plus was very kind to my nosy cat. Will definitely recommend!","Makeda McNeal"
,,"Awesome professional company! Definitely recommend!","Ian Hinkle"
,"Yes","Jesse did an awesome job replacing outdoor light fixtures, installing new ones and wiring a new metal building.  He walked us through the steps we needed to do to have the power company hook up the power, came back and checked everything. He kept us informed, was polite, responsive, and did everything we needed.  Very reasonable pricing. We couldn’t be happier!","Carmen Kilgore"
,"Yes",,"Juhree Yeatman"
,,"Easy communication. Which is a plus for me anyway nowadays. Very responsive and showed up when he said he would. Friendly and professional. Will use them anytime it’s to big of a job for me.","Kevin Heinrich"
,"Yes","This company is amazing! If you need any electrical then this is who you need to use!","Melissa Burnett"
,,"Professional, outstanding service & available immediately:  Serviced Generac 24kw Household Generator at 1 year maintenance; exceptional communicators, always articulate and informative RE generator operations & anything related.  NCharge has consistently delivered exceptional, reliable service that I count on (whether addressing anything electrical or specifically generator-related, to myself as a new owner).  I am fortunate to have found NCharge, won’t go anywhere else!  Earlier comments:  Trouble shoot electrical panel fuse trip after lightening storm; identified problem with ground wire between multiple 3-way outlets, made repairs, communicated cause & remedies  & made repair.  I can’t give NCharge a high enough rating; this is the second successful experience with them after the whole house generator installation.  One stop shopping for all your electrical needs, don’t lose their number(!!!)","Peder Fugere"
,,"Technician was prompt, courteous, and professional. Took care of several issues quickly.","Phil Sissons"
,"Yes","Technician did a good job of a very simple installation.  It was overpriced.","Danny Glaze"
,"Yes","Your service technician Chase, was very professional and polite. He worked hard to track down the problem and fix it in a timely manner. By the time he had finished, we felt like we had made a new friend. We are very pleased with the work that he did. Thank you.","Dannie Hudgins"
,,,"Chaise Pearson"
,"Yes","Chase was very professional and knowledgeable. I would definitely recommend NCharge to any of my friends and neighbors.","Ronnie Pinkston"
,,"Please see associated email.","Stephen Middaugh"
,"Yes","Generator repair. Technician found problem right away and had my generator up and running quickly. Excellent person to work with, If I need electrical work in the future will use this company.","John Spain"
,"Yes",,"Meladie Jones"
,"Yes","Saved me from being ripped off by another company. Great price, quick and efficient work by any experienced electrician. Recommend for anyone who needs quality electrical work done.","Heather Johnson"
,,"Brent Madden came to fix my ring doorbell and he was the nicest and most professional man that I have had in my home for some time. He explained everything and made it look so easy. So glad to have it repaired. I now have a great company and excellent service man. Thanks","Debbie Spellman"
,"Yes","We are in process of a full condo remodel and needed an electrician for many items. They were very prompt and the price was very reasonable. The technician worked great with our contractor and the communication was amazing.","Renee' L"
,"Yes","Wow! Amazing customer service, Brent showed up on time, and provided me with a great price, he completed the work same day.","Jeremy Lovelady"
,"Yes","Buster and his crew did an excellent job! Quick, efficient, and all very hardworking! Walked me through the issues and quickly got to work solving the problem!","McKayla Hester"
,,"Quick, efficient, on time, professional. Thanks again!","Ingrid Addison"
,,"Never had electrician so positive so perfect. every thing had to be perfect, pride in his work, smile on his face and doesn't mind answering stupid questions. I live here in Clanton. I'm sure glad that I chose Pate company electric. his name is Philip. He's so calm cool and collect straight cut about 50 years old never said one bad word all positive and he was here for about 12 hours took a 30 minute lunch break is all he did. This was a major job This was not a minor little job. Mr Phill Pate took pride in his work and I consider Phill a new friend. It's someone you would like to be around. He also put up with my yapping dog all day. Cleaned up all the messes and the price I didn't even call anybody else I was very satisfied with the price. Normally I get bids but once I met Phil there's no other electrician I'll ever use another electrician. I cannot put into words how great this experience was.","Dennis Emmons"
,,"I highly recommend this business. He replaced our outside breaker box. He went above and beyond for my family and completed the work in below freezing temperatures. 🙏","Cameron White"
,"Yes","Philip came out to give an estimate and was able to complete the work in just a few hours. Very quick service. He was very kind and knowledgeable. We will only use PateCo. Electric moving forward! Highly recommend!","Donna Price"
,"Yes","Phillip came out to my house and installed a outside security light in my back yard, I highly recommend him for any electrical work you may need! Very reliable, good quality and great pricing!!!","brooke shaw"
,"Yes","Excellent service and fast
Totally good man","Tabitha Taylor"
,,"Hired Phillip to install a new meter and fuse panel and to install power to my RV shed. He came out gave me an great estimate. He came back earlier than scheduled. He installed the new panel and wired 2 overhead lights and switches and 2 110 plugs and a 30 amp RV  power box. He did an excellent job and finished very quickly.  And the price was within the estimate.","Timothy Collins"
,"Yes",,"Christopher Thompson"
,,,"Maggie Kessler"
,,"Nice place","??"
,,,"Cody Harrell"
,,"He did some work for my mom. Does an excellent
Job and very efficient. Highly recommend","Kim Philpot"
,,,"Kelly Duckworth"
,"Yes","He was amazing very helpful very understanding I called and he came with an hour and got everything I needed done with no problem 10/10 recommend","Devon shawny Pitts"
,"Yes","Mr. Dupree was very reasonable, professional, and knowledgeable. If you are in search of an electrician you will not be disappointed. Mr. Dupree  found our problem quickly and kept us informed throughout the process...will definitely use again!!","lashonda lykes"
,"Yes","Timothy was very responsive and quick to come diagnose the many electrical needs we had. He went above and beyond our expectations. He repaired all issues we were aware of needing attention, as well as handled new installs that we were not expecting to get done so quickly. I highly recommend! We will be using him in the future","Nathaniel Bridier"
,"No","Drug me down the road for a month. Then ditched me. Do not use this company","Mike Sampsell"
,,"Great Customer service. Has supreme patience and problem solving abilities. He was able to fix a issue that multiple electricians couldn’t. I’d recommend him for any of your electrical needs.","Tyler Sadler"
,,"Robinson Electric restored lights and electricity to my living room, just in time for the holidays. I was so impressed by the owner's determination to fix my lights on our initial appointment that I cancelled my appliance install for my oven and had them replace that as well. They were very professional, and I am very pleased with their level of customer service! Will recommend to family and friends.","Check Me Out Now"
,,"Referred to him by home warranty program. Original phone call was pleasant and it seemed like I was in good hands. When the day came for him to show up, he texted and rescheduled. Never came to the rescheduled appointment and did not answer texts or phone call.","Jonathan Crump Jr."
,"Yes","Wonderful service! Highly recommend!","Jennifer Glenn"
,"Yes","Excellent Service","Coolboi Studios"
,"Yes","Please contact for all of your needs he will be sure to take care of you!","sirlena anderson"
,"Yes",,"zashaunda Thomas"
,,,"Ron H"
,,,"Sondria Tabb"
,,,"Marcel Higgs"
,,"Landlord used these guys to rewrite from meter to breaker box. First off left there trash in the yard. Drink bottles and snack wrappers. On top of that hooked up nothing correctly. Burned my 1 yr old refrigerator up. Not sure who’s gonna pay for it my landlord or these guys but I would definitely stay clear of these guys. Nothing worked when they left. Will add pictures if possible","Zak Bayens"
,,"Mr. Agee was very professional and he disconnected my old fuse box and install the new breaker panel all within a period of about four hours. We tested everything and everything seems fine. I’ll be calling him again in the spring for more work.","Steven Culberson"
,,"I called Agee electric in a panic because my electric box was not strong enough to cover my home and everything I had running on it! He came straight out and I needed a bigger out side box. When I tell you he gave me a great reasonable price and I jumped on it and he came out today 12-16-22 and did a Great Job..He is a great at his job and knows exactly what he is doing. If you need electric work done ,then Agee Electric is definitely who want to do it.He is the best in the business and I strongly recommend him. 5 stars without a doubt. Thank You Agee Electric for everything .","Melissa Adair"
,"Yes","We had an electrical issue with our stove and they fixed the problem and helped us with some other issues around the house. They were very professional and explained the problems and how they repaired them. I would recommend them to anyone!","Tyler Bigbie"
,"Yes","Great company, got them to hook up my Wifi service and have been very professional. Always answers my calls and easy to deal with. Would definitely recommend them.","Mike Townsend"
,"Yes","The guys were great and showed up promptly and got to work quickly. Highly professional and reasonably priced. Ostin, lead electrician, really knows what he's doing and it shows.","Hayden Reed"
,"Yes","Outstanding work. 3 ceiling fans replaced. 4 ceiling fans installed. 8 light fixtures replaced. 1 light fixture removed. All at a reasonable price. Work crew polite and efficient. Cleaned up after work was complete. I would not use any other company for electrical work. I’m a big fan.","Sheryl Zielenski"
,,"I've used Ryan Electrical for several jobs. My smallest job was a ceiling fan install and our largest was a complete panel upgrade on my home. I was really surprised to see the same level of dedication and professionalism given regardless of the size of the job. Both times they showed up on time, provided friendly service, and left a clean worksite. Will definitely use again!","Dustin Kizer"
,,,"Christine Evans"
