about,area_service,booking_appointment_link,borough,business_status,category,cid,city,country,country_code,email_1,email_1.emails_validator.status,email_1.emails_validator.status_details,facebook,full_address,google_id,h3,kgmid,latitude,location_link,location_reviews_link,logo,longitude,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,phone.whitepages_phones.fastbackgroundcheck,phone_1,phone_1.phones_enricher.carrier_name,phone_1.phones_enricher.carrier_type,phone_1.whitepages_phones.address,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_1.whitepages_phones.source_url,photo,photos_count,place_id,postal_code,query,rating,reviews,reviews_id,reviews_link,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,state,street,street_view,subtypes,time_zone,type,us_state,verified,working_hours,working_hours_old_format,color1,color2
{},True,,,OPERATIONAL,Electrician,8.10182e+18,,,,,,,,,0x88816f71acad78e7:0x706f764feba8f083,89445849cd7ffff,/g/11gxg5tfgk,33.339032,"https://www.google.com/maps/place/Moody%E2%80%99s+Electric+Service%2C+LLC/@33.339031999999996,-89.0812175,14z/data=!4m8!1m2!2m1!1sMoody%E2%80%99s+Electric+Service%2C+LLC!3m4!1s0x88816f71acad78e7:0x706f764feba8f083!8m2!3d33.339031999999996!4d-89.0812175","https://www.google.com/maps/place/Moody%E2%80%99s+Electric+Service%2C+LLC/@33.339031999999996,-89.0812175,13.99z/data=!4m16!1m7!3m6!1s0x88816f71acad78e7:0x706f764feba8f083!2sMoody%E2%80%99s+Electric+Service%2C+LLC!8m2!3d33.339031999999996!4d-89.0812175!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88816f71acad78e7:0x706f764feba8f083!8m2!3d33.339031999999996!4d-89.0812175!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-2gxM1l1k4MI/AAAAAAAAAAI/AAAAAAAAAAA/0Apidx18SS0/s44-p-k-no-ns-nd/photo.jpg,-89.0812175,"Moody’s Electric Service, LLC",Moody’S Electric Service,,,111941972246296484729,https://www.google.com/maps/contrib/111941972246296484729,"Moody’s Electric Service, LLC",+1 662-803-5550,"CELLULAR SOUTH, INC.",mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMPJBVfqVe2DncwuiSwDVYdnc4kt5HeVSD4DwhH=w800-h500-k-no,32,ChIJ53itrHFvgYgRg_Co6092b3A,,"electrician, 35461, Ethelsville, AL, US",3.0,2.0,8.101824340291023e+18,"https://search.google.com/local/reviews?placeid=ChIJ53itrHFvgYgRg_Co6092b3A&q=electrician,+35461,+Ethelsville,+AL,+US&authuser=0&hl=en&gl=US",1.0,0.0,0.0,0.0,1.0,,,https://lh5.googleusercontent.com/p/AF1QipMPJBVfqVe2DncwuiSwDVYdnc4kt5HeVSD4DwhH=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,#54c4d4,#90806c
{},True,,,OPERATIONAL,Electrician,1.32212e+19,,,,,,,,,0xa77fd19af6c2127:0xb77b1daa7e112ea5,8928e9c8573ffff,/g/11nxck4dhk,46.423669,"https://www.google.com/maps/place/harrison+electric+llc/@46.423669,-129.9427086,14z/data=!4m8!1m2!2m1!1sharrison+electric+llc!3m4!1s0xa77fd19af6c2127:0xb77b1daa7e112ea5!8m2!3d46.423669!4d-129.9427086","https://www.google.com/maps/place/harrison+electric+llc/@46.423669,-129.9427086,13.99z/data=!4m16!1m7!3m6!1s0xa77fd19af6c2127:0xb77b1daa7e112ea5!2sharrison+electric+llc!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11ckvg1dmb!3m7!1s0xa77fd19af6c2127:0xb77b1daa7e112ea5!8m2!3d46.423669!4d-129.9427086!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-m8Ck-9M4X9s/AAAAAAAAAAI/AAAAAAAAAAA/_FsU3w4MLfU/s44-p-k-no-ns-nd/photo.jpg,-129.9427086,harrison electric llc,Harrison Electric,,,117701918653460686844,https://www.google.com/maps/contrib/117701918653460686844,harrison electric llc,+1 334-392-1660,,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMaOoA7_yRDL1cXfH2U8bXN8JRfAMsSCKjTEnpE=w800-h500-k-no,5,ChIJJyFsrxn9dwoRpS4Rfqode7c,,"electrician, 36062, Petrey, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMaOoA7_yRDL1cXfH2U8bXN8JRfAMsSCKjTEnpE=w1600-h1000-k-no,"Electrician, Electrical installation service, Electrical products wholesaler, Service establishment",America/Detroit,Electrician,,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Closed|Sunday:Closed,,
{},True,,,OPERATIONAL,Electrician,3.76632e+18,,,,,,,,,0xa79aff64b63556f1:0x3444a7259b8f380d,8944ec7550fffff,/g/11rrppstyk,32.357959,"https://www.google.com/maps/place/Resource+Electrical+Services%2C+LLC/@32.357959,-86.5801245,14z/data=!4m8!1m2!2m1!1sResource+Electrical+Services%2C+LLC!3m4!1s0xa79aff64b63556f1:0x3444a7259b8f380d!8m2!3d32.357959!4d-86.5801245","https://www.google.com/maps/place/Resource+Electrical+Services%2C+LLC/@32.357959,-86.5801245,13.99z/data=!4m16!1m7!3m6!1s0xa79aff64b63556f1:0x3444a7259b8f380d!2sResource+Electrical+Services%2C+LLC!8m2!3d32.357959!4d-86.5801245!16s%2Fg%2F11ckvg1dmb!3m7!1s0xa79aff64b63556f1:0x3444a7259b8f380d!8m2!3d32.357959!4d-86.5801245!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-6bkRGVlERy8/AAAAAAAAAAI/AAAAAAAAAAA/Gm_pKbLjI8c/s44-p-k-no-ns-nd/photo.jpg,-86.5801245,"Resource Electrical Services, LLC",Resource Electrical Services,,,116026960181166853550,https://www.google.com/maps/contrib/116026960181166853550,"Resource Electrical Services, LLC",+1 334-412-2566,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOOmK_4NNgRehdhWs2ArgnGbQyY4K7kjPpuYEnE=w800-h500-k-no,7,ChIJ8VY1tmT_mqcRDTiPmyWnRDQ,,"electrician, 36062, Petrey, AL, US",5.0,1.0,3.7663189683540603e+18,"https://search.google.com/local/reviews?placeid=ChIJ8VY1tmT_mqcRDTiPmyWnRDQ&q=electrician,+36062,+Petrey,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,1.0,,,https://lh5.googleusercontent.com/p/AF1QipOOmK_4NNgRehdhWs2ArgnGbQyY4K7kjPpuYEnE=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,#7cb4c4,#648ca4
"{""Service options"": {""Online estimates"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",True,,,CLOSED_TEMPORARILY,Electrician,8.30991e+18,,,,,,,,,0x88927dd41c0d3b29:0x7352bb5ef213fad2,8944e137077ffff,/g/11kf77c3my,31.5705486,"https://www.google.com/maps/place/Reliant+Electrical+Solutions+LLC/@31.5705486,-86.15015439999999,14z/data=!4m8!1m2!2m1!1sReliant+Electrical+Solutions+LLC!3m4!1s0x88927dd41c0d3b29:0x7352bb5ef213fad2!8m2!3d31.5705486!4d-86.15015439999999","https://www.google.com/maps/place/Reliant+Electrical+Solutions+LLC/@31.5705486,-86.15015439999999,13.99z/data=!4m16!1m7!3m6!1s0x88927dd41c0d3b29:0x7352bb5ef213fad2!2sReliant+Electrical+Solutions+LLC!8m2!3d31.5705486!4d-86.15015439999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88927dd41c0d3b29:0x7352bb5ef213fad2!8m2!3d31.5705486!4d-86.15015439999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-ihl2DsU1VfU/AAAAAAAAAAI/AAAAAAAAAAA/Ro1__--vQA4/s44-p-k-no-ns-nd/photo.jpg,-86.1501544,Reliant Electrical Solutions LLC,Reliant Electrical Solutions,,,102979722737777892504,https://www.google.com/maps/contrib/102979722737777892504,Reliant Electrical Solutions LLC,+1 334-733-8722,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPmkSfyrEcweja83tXKGRCPb_fq7y167KWIfSBy=w800-h500-k-no,35,ChIJKTsNHNR9kogR0voT8l67UnM,,"electrician, 36062, Petrey, AL, US",5.0,7.0,8.309910278914702e+18,"https://search.google.com/local/reviews?placeid=ChIJKTsNHNR9kogR0voT8l67UnM&q=electrician,+36062,+Petrey,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,7.0,,,https://lh5.googleusercontent.com/p/AF1QipPmkSfyrEcweja83tXKGRCPb_fq7y167KWIfSBy=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,,,#3f9abf,#667278
{},True,,,OPERATIONAL,Electrician,1.80393e+19,,,,,,,,,0x888c2a5722e2bb45:0xfa5861af189194ab,8944ec79a6bffff,/g/11c6zy6gjj,32.3562551,"https://www.google.com/maps/place/Hendrix+Electrix/@32.3562551,-86.2566715,14z/data=!4m8!1m2!2m1!1sHendrix+Electrix!3m4!1s0x888c2a5722e2bb45:0xfa5861af189194ab!8m2!3d32.3562551!4d-86.2566715","https://www.google.com/maps/place/Hendrix+Electrix/@32.3562551,-86.2566715,13.99z/data=!4m16!1m7!3m6!1s0x888c2a5722e2bb45:0xfa5861af189194ab!2sHendrix+Electrix!8m2!3d32.3562551!4d-86.2566715!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c2a5722e2bb45:0xfa5861af189194ab!8m2!3d32.3562551!4d-86.2566715!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-eevtXWvCC1w/AAAAAAAAAAI/AAAAAAAAAAA/Tp61u3_eUZw/s44-p-k-no-ns-nd/photo.jpg,-86.2566715,Hendrix Electrix,Hendrix Electrix,,,113716709947166886396,https://www.google.com/maps/contrib/113716709947166886396,Hendrix Electrix,+1 334-235-9109,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNcPKYV7nH_Ky2XcFsPIpxYhsZdODTDo6zJgRHJ=w800-h500-k-no,5,ChIJRbviIlcqjIgRq5SRGK9hWPo,,"electrician, 36064, Pike Road, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNcPKYV7nH_Ky2XcFsPIpxYhsZdODTDo6zJgRHJ=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:9AM-5PM|Tuesday:9AM-5PM|Wednesday:9AM-5PM|Thursday:9AM-5PM|Friday:9AM-5PM|Saturday:Closed|Sunday:Closed,#7f7f7f,#4c4c4c
{},True,,,OPERATIONAL,Electrician,4.52919e+18,,,,,,,,,0x888e81089d0ff64b:0x3edae9b9ec4d643a,8944ec79077ffff,/g/11m_n3__ml,32.2974101,"https://www.google.com/maps/place/Montgomery+Electrical+Services/@32.2974101,-86.2586334,14z/data=!4m8!1m2!2m1!1sMontgomery+Electrical+Services!3m4!1s0x888e81089d0ff64b:0x3edae9b9ec4d643a!8m2!3d32.2974101!4d-86.2586334","https://www.google.com/maps/place/Montgomery+Electrical+Services/@32.2974101,-86.2586334,13.99z/data=!4m16!1m7!3m6!1s0x888e81089d0ff64b:0x3edae9b9ec4d643a!2sMontgomery+Electrical+Services!8m2!3d32.2974101!4d-86.2586334!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888e81089d0ff64b:0x3edae9b9ec4d643a!8m2!3d32.2974101!4d-86.2586334!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-b7E40vRdYPI/AAAAAAAAAAI/AAAAAAAAAAA/esnHH4aU2n4/s44-p-k-no-ns-nd/photo.jpg,-86.2586334,Montgomery Electrical Services,Montgomery Electrical Services,,,108077839573874078702,https://www.google.com/maps/contrib/108077839573874078702,Montgomery Electrical Services,+1 334-258-8628,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMGXq0vF9nPBW4oZotic6S85mUmp-W5ZPAsaFqQ=w800-h500-k-no,25,ChIJS_YPnQiBjogROmRN7Lnp2j4,,"electrician, 36064, Pike Road, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMGXq0vF9nPBW4oZotic6S85mUmp-W5ZPAsaFqQ=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6:30PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-6PM|Tuesday:8AM-6:30PM|Wednesday:8AM-6PM|Thursday:8AM-6PM|Friday:8AM-6PM|Saturday:Closed|Sunday:Closed,#084cac,#8ca0b8
{},True,,,OPERATIONAL,Electrician,5.938e+18,,,,,,,,,0x23b8e9acaa2998d5:0x526807a22876cfef,8944ec6a373ffff,/g/11y8_0_cqk,32.4227734,"https://www.google.com/maps/place/Ceh+Electric+Solutions/@32.4227734,-86.31228899999999,14z/data=!4m8!1m2!2m1!1sCeh+Electric+Solutions!3m4!1s0x23b8e9acaa2998d5:0x526807a22876cfef!8m2!3d32.4227734!4d-86.31228899999999","https://www.google.com/maps/place/Ceh+Electric+Solutions/@32.4227734,-86.31228899999999,13.99z/data=!4m16!1m7!3m6!1s0x23b8e9acaa2998d5:0x526807a22876cfef!2sCeh+Electric+Solutions!8m2!3d32.4227734!4d-86.31228899999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x23b8e9acaa2998d5:0x526807a22876cfef!8m2!3d32.4227734!4d-86.31228899999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-kVlGLRbwktU/AAAAAAAAAAI/AAAAAAAAAAA/pEBDnBL3Hws/s44-p-k-no-ns-nd/photo.jpg,-86.312289,Ceh Electric Solutions,Ceh Electric Solutions,,,103297118435934555222,https://www.google.com/maps/contrib/103297118435934555222,Ceh Electric Solutions,+1 334-303-6146,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNW_cHFo1EjPjdYsGgi3PJHVx8D1gyks-wEhM_u=w800-h500-k-no,44,ChIJ1ZgpqqzpuCMR7892KKIHaFI,,"electrician, 36066, Prattville, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNW_cHFo1EjPjdYsGgi3PJHVx8D1gyks-wEhM_u=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""7AM-3:30PM"", ""Tuesday"": ""7AM-3:30PM"", ""Wednesday"": ""7AM-3:30PM"", ""Thursday"": ""7AM-3:30PM"", ""Friday"": ""7AM-3:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7AM-3:30PM|Tuesday:7AM-3:30PM|Wednesday:7AM-3:30PM|Thursday:7AM-3:30PM|Friday:7AM-3:30PM|Saturday:Closed|Sunday:Closed,,
"{""Service options"": {""Online estimates"": true}, ""Planning"": {""Appointment required"": true}}",False,,,OPERATIONAL,Electrician,1.20914e+19,Clanton,United States of America,US,,,,,"540 Co Rd 410, Clanton, AL 35045",0x88897d4309439dc7:0xa7cd6fe645bc87cd,8944e880a93ffff,/g/11m_wbjyb_,32.8287573,"https://www.google.com/maps/place/PateCo+Electric/@32.8287573,-86.68737759999999,14z/data=!4m8!1m2!2m1!1sPateCo+Electric!3m4!1s0x88897d4309439dc7:0xa7cd6fe645bc87cd!8m2!3d32.8287573!4d-86.68737759999999","https://www.google.com/maps/place/PateCo+Electric/@32.8287573,-86.68737759999999,13.99z/data=!4m16!1m7!3m6!1s0x88897d4309439dc7:0xa7cd6fe645bc87cd!2sPateCo+Electric!8m2!3d32.8287573!4d-86.68737759999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88897d4309439dc7:0xa7cd6fe645bc87cd!8m2!3d32.8287573!4d-86.68737759999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-68XyHpNS0k0/AAAAAAAAAAI/AAAAAAAAAAA/mIJvnMj_sgE/s44-p-k-no-ns-nd/photo.jpg,-86.6873776,PateCo Electric,Pateco Electric,,,108985855163684345098,https://www.google.com/maps/contrib/108985855163684345098,PateCo Electric,+1 205-258-8755,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMLFkBxV9VzEIIsIw0n4p0QQ1O4pk6TXj8-Ooh4=w800-h500-k-no,24,ChIJx51DCUN9iYgRzYe8ReZvzac,35045.0,"electrician, 35085, Jemison, AL, US",5.0,7.0,-6.355300464346757e+18,"https://search.google.com/local/reviews?placeid=ChIJx51DCUN9iYgRzYe8ReZvzac&q=electrician,+35085,+Jemison,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,7.0,Alabama,540 Co Rd 410,https://lh5.googleusercontent.com/p/AF1QipMLFkBxV9VzEIIsIw0n4p0QQ1O4pk6TXj8-Ooh4=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,#e78c17,#8a540e
{},False,,,OPERATIONAL,Electrician,6.78571e+18,Alexander City,United States of America,US,,,,,"3702 Hillcrest Dr, Alexander City, AL 35010",0x888c0cf1d5435d53:0x5e2bb3d509e31964,8944e85307bffff,/g/1tdfp0px,32.8928654,"https://www.google.com/maps/place/Agee+Electric/@32.8928654,-85.9609673,14z/data=!4m8!1m2!2m1!1sAgee+Electric!3m4!1s0x888c0cf1d5435d53:0x5e2bb3d509e31964!8m2!3d32.8928654!4d-85.9609673","https://www.google.com/maps/place/Agee+Electric/@32.8928654,-85.9609673,13.99z/data=!4m16!1m7!3m6!1s0x888c0cf1d5435d53:0x5e2bb3d509e31964!2sAgee+Electric!8m2!3d32.8928654!4d-85.9609673!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c0cf1d5435d53:0x5e2bb3d509e31964!8m2!3d32.8928654!4d-85.9609673!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-W0WjdXwN3H4/AAAAAAAAAAI/AAAAAAAAAAA/es3xOP5KM_4/s44-p-k-no-ns-nd/photo.jpg,-85.9609673,Agee Electric,Agee Electric,,,106019861867335578787,https://www.google.com/maps/contrib/106019861867335578787,Agee Electric,+1 256-794-7190,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMHGEMOv2h7BxfjOAQLyZXKNxUVqVOGD-UfhN_I=w800-h500-k-no,8,ChIJU11D1fEMjIgRZBnjCdWzK14,35010.0,"electrician, 35089, Kellyton, AL, US",3.7,3.0,6.785714991139068e+18,"https://search.google.com/local/reviews?placeid=ChIJU11D1fEMjIgRZBnjCdWzK14&q=electrician,+35089,+Kellyton,+AL,+US&authuser=0&hl=en&gl=US",1.0,0.0,0.0,0.0,2.0,Alabama,3702 Hillcrest Dr,https://lh5.googleusercontent.com/p/AF1QipMHGEMOv2h7BxfjOAQLyZXKNxUVqVOGD-UfhN_I=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Closed|Sunday:Closed,,
{},True,,,OPERATIONAL,Electrician,1.62482e+19,,,,,,,,,0x66bf0a8a6a3e2c6d:0xe17d3facd3bfcc76,8944e89300fffff,/g/11s4rn04cn,32.5762265,"https://www.google.com/maps/place/Jackson+Electrical+Services+of+Alabama+LLC/@32.5762265,-86.6807364,14z/data=!4m8!1m2!2m1!1sJackson+Electrical+Services+of+Alabama+LLC!3m4!1s0x66bf0a8a6a3e2c6d:0xe17d3facd3bfcc76!8m2!3d32.5762265!4d-86.6807364","https://www.google.com/maps/place/Jackson+Electrical+Services+of+Alabama+LLC/@32.5762265,-86.6807364,13.99z/data=!4m16!1m7!3m6!1s0x66bf0a8a6a3e2c6d:0xe17d3facd3bfcc76!2sJackson+Electrical+Services+of+Alabama+LLC!8m2!3d32.5762265!4d-86.6807364!16s%2Fg%2F11ckvg1dmb!3m7!1s0x66bf0a8a6a3e2c6d:0xe17d3facd3bfcc76!8m2!3d32.5762265!4d-86.6807364!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh5.googleusercontent.com/-2NRDlFFvYbQ/AAAAAAAAAAI/AAAAAAAAAAA/GjVb5TzoaCo/s44-p-k-no-ns-nd/photo.jpg,-86.6807364,Jackson Electrical Services of Alabama LLC,Jackson Electrical Services Of Alabama,,,102406743384353797086,https://www.google.com/maps/contrib/102406743384353797086,Jackson Electrical Services of Alabama LLC,+1 205-568-2786,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNR3UMTYzdzttTzH1so-snIVIzntWywjp6vKnGx=w800-h500-k-no,30,ChIJbSw-aooKv2YRdsy_06w_feE,,"electrician, 35091, Kimberly, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNR3UMTYzdzttTzH1so-snIVIzntWywjp6vKnGx=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Closed|Sunday:Closed,,
{},True,,,OPERATIONAL,Electrician,1.61024e+19,,,,,,,,,0x8889908baf695d3d:0xdf771684b9c485d1,8944e89300fffff,/g/11g01r_hq0,32.5762265,"https://www.google.com/maps/place/Holcombe+Electric+llc/@32.5762265,-86.6807364,14z/data=!4m8!1m2!2m1!1sHolcombe+Electric+llc!3m4!1s0x8889908baf695d3d:0xdf771684b9c485d1!8m2!3d32.5762265!4d-86.6807364","https://www.google.com/maps/place/Holcombe+Electric+llc/@32.5762265,-86.6807364,13.99z/data=!4m16!1m7!3m6!1s0x8889908baf695d3d:0xdf771684b9c485d1!2sHolcombe+Electric+llc!8m2!3d32.5762265!4d-86.6807364!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889908baf695d3d:0xdf771684b9c485d1!8m2!3d32.5762265!4d-86.6807364!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-M9Hx6NS4vyE/AAAAAAAAAAI/AAAAAAAAAAA/fzDBvB_9S4I/s44-p-k-no-ns-nd/photo.jpg,-86.6807364,Holcombe Electric llc,Holcombe Electric,,,112856052006628647102,https://www.google.com/maps/contrib/112856052006628647102,Holcombe Electric llc,+1 205-296-6459,,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOhH3bGwqb-unDK8JxYwF1r0VNt4hnWgMEBfImC=w800-h500-k-no,5,ChIJPV1pr4uQiYgR0YXEuYQWd98,,"electrician, 35097, Locust Fork, AL, US",5.0,4.0,-2.3443803217148954e+18,"https://search.google.com/local/reviews?placeid=ChIJPV1pr4uQiYgR0YXEuYQWd98&q=electrician,+35097,+Locust+Fork,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,4.0,,,https://lh5.googleusercontent.com/p/AF1QipOhH3bGwqb-unDK8JxYwF1r0VNt4hnWgMEBfImC=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""6AM-5PM"", ""Tuesday"": ""6AM-5PM"", ""Wednesday"": ""6AM-5PM"", ""Thursday"": ""6AM-5PM"", ""Friday"": ""6AM-5PM"", ""Saturday"": ""6AM-5PM"", ""Sunday"": ""Closed""}",Monday:6AM-5PM|Tuesday:6AM-5PM|Wednesday:6AM-5PM|Thursday:6AM-5PM|Friday:6AM-5PM|Saturday:6AM-5PM|Sunday:Closed,#bc080c,#94584c
